rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas,rc_deg,rt_deg,all_names
263,Theia_1742,133.114746,-47.933053,267.540645,-2.181,1595.4,11.0143,232,13.466,0.48359,0.7347,8.099,1.319,-6.8271,5.1537,0.5945,0.773747,1.358047,"Theia_1742,Theia_2717"
264,OC_0684,256.772703,-35.804069,349.762893,2.903,1045.7,10.097,382,8.8,0.48216,0.7303,6.754,1.683,1.2528,-2.272,0.8971,0.658526,1.419309,"ASCC_88,Gulliver_29,OC_0684,Theia_1690"
265,OC_0367,89.451015,-14.114306,219.851216,-18.14,638.1,9.0244,135,5.364,0.48163,0.7287,6.82,0.472,-1.8675,1.5201,1.4884,1.038334,1.038334,"CWNU_18,OC_0367"
266,Teutsch_312,315.436871,29.651452,74.68394,-11.0,834.3,9.6066,116,6.942,0.47675,0.714,7.46,0.188,0.9937,-4.7446,1.1574,0.589827,1.500480,"Teutsch_312,Teutsch_J2101.7+2938,Theia_276,UPK_108"
267,Theia_12,282.101656,-2.381873,30.466627,-0.4119,609.6,8.9254,142,5.06,0.47556,0.7105,6.725,3.191,0.1387,-6.1785,1.5688,0.582842,1.490023,"CWNU_1245,Theia_12"
268,ASCC_21,82.21204,3.606585,199.88285,-16.53,332.9,7.6117,116,2.747,0.47268,0.7019,6.839,0.138,1.5324,-0.5763,2.9024,0.429017,1.787170,ASCC_21
269,Alessi-Teutsch_12,255.411455,-59.007641,330.610798,-10.35,577.2,8.8068,104,4.761,0.47252,0.7015,8.021,0.203,-2.3127,-8.9852,1.6436,0.389719,1.899081,"ASCC_86,AT_12,Alessi-Teutsch_12,Alessi_J1701.7-5857,Alessi_Teutsch_12,MWSC_2513,Theia_257"
270,BH_164,222.323853,-66.392493,314.359669,-6.172,408.2,8.0544,819,3.319,0.46579,0.6816,7.268,0.203,-7.4367,-10.6961,2.3749,0.340353,2.170501,"Alessi_7,BH_164,MWSC_2255,vdBergh-Hagen_164"
271,Alessi_2,71.557048,55.184071,152.327184,6.336,586.4,8.8409,249,4.725,0.46166,0.6696,8.421,0.572,-0.9279,-1.0945,1.6178,0.500150,1.520611,"Alessi_2,LeDrew_4,MWSC_419"
272,COIN-Gaia_11,68.14971,39.533245,162.518355,-5.774,624.3,8.9768,226,5.03,0.46168,0.6696,8.53,1.768,3.4367,-5.7478,1.5173,0.340014,2.058387,"COIN-Gaia_11,Theia_963"
273,NGC_2516,119.521499,-60.792905,273.853358,-15.87,393.4,7.974,3784,3.167,0.46122,0.6683,8.098,0.205,-4.6336,11.2257,2.4272,0.368569,1.896110,"Collinder_172,ESO_124-6,FSR_1487,MWSC_1393,Melotte_82,NGC_2516,OCL_776,Theia_613"
274,Alessi_116,310.244371,20.069651,63.996627,-13.18,875.9,9.7123,198,7.018,0.45907,0.6621,9.039,0.133,-6.2674,-9.2316,1.0667,0.713897,1.249214,"Alessi_116,Theia_1177,UBC_131,UPK_84"
275,OC_0588,195.997798,-60.096008,304.497728,2.738,628.2,8.9903,409,4.991,0.45521,0.651,8.366,0.639,-12.0706,-3.8541,1.497,0.279160,2.368202,"CWNU_1122,OC_0588"
276,Theia_759,112.324561,-18.859546,233.949946,-0.5098,694.7,9.2091,149,5.512,0.45457,0.6492,8.387,0.161,-5.2884,0.2726,1.3534,0.679882,1.260578,Theia_759
277,Roslund_5,302.617466,33.740655,71.431841,0.1769,522.8,8.5916,360,4.086,0.44782,0.63,8.042,0.245,2.0522,-1.2363,1.8418,0.246479,2.643132,Roslund_5
278,Theia_743,173.480256,-60.656705,293.572873,0.7987,615.3,8.9453,105,4.809,0.44782,0.63,8.501,0.133,-14.4443,2.6491,1.5234,0.345125,1.852000,"OC_0565,Theia_621,Theia_743"
